GPU Power (W), Time (S), 
152, 4.793290, 
152, 4.794791, 
157, 4.812657, 
157, 4.814168, 
162, 4.829546, 
162, 4.831043, 
162, 4.832512, 
162, 4.833977, 
162, 4.835448, 
160, 4.849782, 
160, 4.851288, 
160, 4.852804, 
160, 4.854489, 
156, 4.870864, 
156, 4.872341, 
156, 4.873886, 
156, 4.875355, 
123, 4.890530, 
123, 4.892021, 
123, 4.893493, 
123, 4.894967, 
127, 4.904114, 
127, 4.905612, 
127, 4.907080, 
127, 4.908552, 
127, 4.910028, 
127, 4.911482, 
127, 4.913015, 
127, 4.914658, 
144, 4.926012, 
144, 4.930411, 
144, 4.931855, 
144, 4.933279, 
144, 4.934714, 
145, 4.947063, 
145, 4.948503, 
145, 4.949963, 
145, 4.951531, 
145, 4.953079, 
145, 4.954625, 
145, 4.956204, 
151, 4.968622, 
151, 4.970234, 
151, 4.971780, 
151, 4.973312, 
151, 4.974885, 
159, 4.989918, 
159, 4.991520, 
159, 4.993110, 
159, 4.994671, 
159, 4.996249, 
152, 5.011420, 
152, 5.013015, 
152, 5.014564, 
152, 5.016115, 
159, 5.033045, 
162, 5.051495, 
162, 5.053095, 
162, 5.054657, 
162, 5.056210, 
167, 5.071594, 
167, 5.074525, 
167, 5.076088, 
149, 5.089735, 
149, 5.091234, 
149, 5.092779, 
149, 5.094254, 
149, 5.095813, 
140, 5.106498, 
140, 5.107998, 
140, 5.109480, 
140, 5.111047, 
140, 5.112616, 
140, 5.114200, 
140, 5.115745, 
153, 5.129691, 
153, 5.132422, 
153, 5.134041, 
153, 5.135594, 
153, 5.137159, 
160, 5.150372, 
160, 5.151925, 
160, 5.153474, 
160, 5.155015, 
160, 5.156581, 
145, 5.171282, 
145, 5.172847, 
145, 5.174429, 
145, 5.175970, 
160, 5.190645, 
160, 5.192194, 
160, 5.193726, 
160, 5.195277, 
160, 5.196786, 
166, 5.211699, 
166, 5.213202, 
166, 5.214644, 
166, 5.216068, 
167, 5.233469, 
167, 5.234948, 
167, 5.236392, 
152, 5.251837, 
152, 5.253317, 
152, 5.254784, 
152, 5.256391, 
138, 5.267948, 
138, 5.269398, 
138, 5.270873, 
138, 5.272349, 
138, 5.273801, 
138, 5.275294, 
138, 5.276806, 
172, 5.288781, 
172, 5.290240, 
172, 5.291690, 
172, 5.293137, 
172, 5.294637, 
172, 5.296092, 
172, 5.297614, 
170, 5.311468, 
170, 5.312920, 
170, 5.314355, 
170, 5.315889, 
170, 5.317341, 
143, 5.331022, 
143, 5.332661, 
143, 5.334125, 
143, 5.335568, 
143, 5.337039, 
165, 5.348489, 
165, 5.349941, 
165, 5.351392, 
165, 5.352853, 
165, 5.354300, 
165, 5.355786, 
165, 5.357262, 
148, 5.372295, 
148, 5.373759, 
148, 5.375206, 
148, 5.376646, 
148, 5.378155, 
123, 5.387043, 
123, 5.388504, 
123, 5.389968, 
123, 5.391454, 
123, 5.392918, 
123, 5.394442, 
123, 5.395919, 
123, 5.397387, 
154, 5.408483, 
154, 5.409979, 
154, 5.411447, 
154, 5.412916, 
154, 5.414374, 
154, 5.415898, 
154, 5.417363, 
162, 5.432494, 
162, 5.435064, 
162, 5.436654, 
162, 5.438257, 
163, 5.451458, 
163, 5.452935, 
163, 5.454424, 
163, 5.455903, 
163, 5.457383, 
121, 5.472349, 
121, 5.473822, 
121, 5.475288, 
121, 5.476899, 
121, 5.478384, 
115, 5.485481, 
115, 5.486959, 
115, 5.488444, 
115, 5.489929, 
